ts,device,temp,hum,gas,ai,heartrate
2026-01-10 19:11,Smart Home Health Ecosystem,0.0,0.0,563.0,,
2026-01-10 19:11,Smart Home Health Ecosystem,0.0,0.0,569.0,,
2026-01-10 19:11,Smart Home Health Ecosystem,0.0,0.0,567.0,,
2026-01-10 19:11,Smart Home Health Ecosystem,0.0,0.0,489.0,,
2026-01-10 19:11,Smart Home Health Ecosystem,0.0,0.0,562.0,,
2026-01-10 19:11,Smart Home Health Ecosystem,0.0,0.0,560.0,,
2026-01-10 19:11,Smart Home Health Ecosystem,0.0,0.0,562.0,,
2026-01-10 19:11,Smart Home Health Ecosystem,0.0,0.0,564.0,,
2026-01-10 19:11,Smart Home Health Ecosystem,0.0,0.0,560.0,,
2026-01-10 19:11,Smart Home Health Ecosystem,0.0,0.0,560.0,,
2026-01-10 19:11,Smart Home Health Ecosystem,0.0,0.0,560.0,,
2026-01-10 19:11,Smart Home Health Ecosystem,0.0,0.0,560.0,,
2026-01-10 19:11,Smart Home Health Ecosystem,0.0,0.0,543.0,,
2026-01-10 19:11,Smart Home Health Ecosystem,0.0,0.0,560.0,,
2026-01-10 19:11,Smart Home Health Ecosystem,0.0,0.0,467.0,,
2026-01-10 19:11,Smart Home Health Ecosystem,0.0,0.0,559.0,,
2026-01-10 19:11,Smart Home Health Ecosystem,0.0,0.0,555.0,,
2026-01-10 19:11,Smart Home Health Ecosystem,0.0,0.0,560.0,,
2026-01-10 19:11,Smart Home Health Ecosystem,0.0,0.0,555.0,,
2026-01-10 19:11,Smart Home Health Ecosystem,0.0,0.0,557.0,,
2026-01-10 19:12,Smart Home Health Ecosystem,0.0,0.0,554.0,,
2026-01-10 19:12,Smart Home Health Ecosystem,0.0,0.0,560.0,,
2026-01-10 19:12,Smart Home Health Ecosystem,0.0,0.0,558.0,,
2026-01-10 19:12,Smart Home Health Ecosystem,0.0,0.0,528.0,,
2026-01-10 19:12,Smart Home Health Ecosystem,0.0,0.0,542.0,,
2026-01-10 19:12,Smart Home Health Ecosystem,0.0,0.0,555.0,,
2026-01-10 19:12,Smart Home Health Ecosystem,0.0,0.0,554.0,,
2026-01-10 19:12,Smart Home Health Ecosystem,0.0,0.0,525.0,,
2026-01-10 19:12,Smart Home Health Ecosystem,0.0,0.0,554.0,,
2026-01-10 19:12,Smart Home Health Ecosystem,0.0,0.0,552.0,,
2026-01-10 19:12,Smart Home Health Ecosystem,0.0,0.0,558.0,,
2026-01-10 19:12,Smart Home Health Ecosystem,0.0,0.0,554.0,,
2026-01-10 19:12,Smart Home Health Ecosystem,0.0,0.0,551.0,,
2026-01-10 19:12,Smart Home Health Ecosystem,0.0,0.0,548.0,,
2026-01-10 19:12,Smart Home Health Ecosystem,0.0,0.0,551.0,,
2026-01-10 19:12,Smart Home Health Ecosystem,0.0,0.0,549.0,,
2026-01-10 19:12,Smart Home Health Ecosystem,0.0,0.0,554.0,,
2026-01-10 19:12,Smart Home Health Ecosystem,0.0,0.0,555.0,,
2026-01-10 19:12,Smart Home Health Ecosystem,0.0,0.0,542.0,,
2026-01-10 19:12,Smart Home Health Ecosystem,0.0,0.0,555.0,,
2026-01-10 19:12,Smart Home Health Ecosystem,0.0,0.0,469.0,,
2026-01-10 19:12,Smart Home Health Ecosystem,0.0,0.0,555.0,,
2026-01-10 19:32,Smart Home Health Ecosystem,0.0,0.0,560.0,,
2026-01-10 19:32,Smart Home Health Ecosystem,0.0,0.0,511.0,,
2026-01-10 19:32,Smart Home Health Ecosystem,0.0,0.0,562.0,,
2026-01-10 19:32,Smart Home Health Ecosystem,0.0,0.0,470.0,,
2026-01-10 19:32,Smart Home Health Ecosystem,0.0,0.0,563.0,,
2026-01-10 19:32,Smart Home Health Ecosystem,0.0,0.0,560.0,,
2026-01-10 19:32,Smart Home Health Ecosystem,0.0,0.0,561.0,,
2026-01-10 19:32,Smart Home Health Ecosystem,0.0,0.0,561.0,,
2026-01-10 19:40,Smart Home Health Ecosystem,0.0,0.0,556.0,0,
2026-01-10 19:40,Smart Home Health Ecosystem,0.0,0.0,475.0,0,
2026-01-10 19:40,Smart Home Health Ecosystem,0.0,0.0,525.0,0,
2026-01-10 19:40,Smart Home Health Ecosystem,0.0,0.0,539.0,0,
2026-01-10 19:40,Smart Home Health Ecosystem,0.0,0.0,544.0,0,
2026-01-10 19:40,Smart Home Health Ecosystem,0.0,0.0,621.0,0,
2026-01-10 19:40,Smart Home Health Ecosystem,0.0,0.0,624.0,0,
2026-01-10 19:43,Smart Home Health Ecosystem,0.0,0.0,533.0,,
2026-01-10 19:43,Smart Home Health Ecosystem,0.0,0.0,527.0,,
2026-01-10 19:43,Smart Home Health Ecosystem,0.0,0.0,531.0,,
2026-01-10 19:43,Smart Home Health Ecosystem,0.0,0.0,554.0,,
2026-01-10 19:43,Smart Home Health Ecosystem,0.0,0.0,557.0,,
2026-01-10 19:43,Smart Home Health Ecosystem,0.0,0.0,627.0,,
2026-01-10 19:43,Smart Home Health Ecosystem,0.0,0.0,545.0,,
2026-01-10 19:43,Smart Home Health Ecosystem,0.0,0.0,560.0,,
2026-01-10 19:43,Smart Home Health Ecosystem,0.0,0.0,549.0,,
2026-01-10 19:43,Smart Home Health Ecosystem,0.0,0.0,541.0,,
2026-01-10 19:43,Smart Home Health Ecosystem,0.0,0.0,639.0,,
2026-01-10 19:43,Smart Home Health Ecosystem,0.0,0.0,553.0,,
2026-01-10 19:43,Smart Home Health Ecosystem,0.0,0.0,688.0,,
2026-01-10 19:43,Smart Home Health Ecosystem,0.0,0.0,699.0,,
2026-01-10 19:43,Smart Home Health Ecosystem,0.0,0.0,683.0,,
2026-01-10 19:43,Smart Home Health Ecosystem,0.0,0.0,688.0,,
2026-01-10 19:43,Smart Home Health Ecosystem,0.0,0.0,682.0,,
2026-01-10 19:43,Smart Home Health Ecosystem,0.0,0.0,692.0,,
2026-01-10 19:43,Smart Home Health Ecosystem,0.0,0.0,699.0,,
2026-01-10 19:44,Smart Home Health Ecosystem,0.0,0.0,705.0,,
2026-01-10 19:44,Smart Home Health Ecosystem,0.0,0.0,560.0,,
2026-01-10 19:44,Smart Home Health Ecosystem,0.0,0.0,567.0,,
2026-01-10 19:44,Smart Home Health Ecosystem,0.0,0.0,661.0,,
2026-01-10 19:44,Smart Home Health Ecosystem,0.0,0.0,650.0,,
2026-01-10 19:44,Smart Home Health Ecosystem,0.0,0.0,611.0,,
2026-01-10 19:52,Smart Home Health Ecosystem,0.0,0.0,573.0,,
2026-01-10 19:52,Smart Home Health Ecosystem,0.0,0.0,636.0,,
2026-01-10 19:52,Smart Home Health Ecosystem,0.0,0.0,574.0,,
2026-01-10 19:52,Smart Home Health Ecosystem,0.0,0.0,610.0,,
2026-01-10 19:52,Smart Home Health Ecosystem,0.0,0.0,588.0,,
2026-01-10 19:53,Smart Home Health Ecosystem,0.0,0.0,535.0,,
2026-01-10 19:53,Smart Home Health Ecosystem,0.0,0.0,636.0,,
2026-01-10 19:53,Smart Home Health Ecosystem,0.0,0.0,613.0,,
2026-01-10 19:53,Smart Home Health Ecosystem,0.0,0.0,555.0,,
2026-01-10 19:53,Smart Home Health Ecosystem,0.0,0.0,579.0,,
2026-01-10 19:53,Smart Home Health Ecosystem,0.0,0.0,547.0,,
2026-01-10 19:53,Smart Home Health Ecosystem,0.0,0.0,583.0,,
2026-01-10 19:53,Smart Home Health Ecosystem,0.0,0.0,561.0,,
2026-01-10 19:53,Smart Home Health Ecosystem,0.0,0.0,553.0,,
2026-01-10 19:53,Smart Home Health Ecosystem,0.0,0.0,653.0,,
2026-01-10 19:57,Smart Home Health Ecosystem,0.0,0.0,592.0,,
2026-01-10 19:57,Smart Home Health Ecosystem,0.0,0.0,539.0,,
2026-01-10 19:57,Smart Home Health Ecosystem,0.0,0.0,526.0,,
2026-01-10 19:57,Smart Home Health Ecosystem,0.0,0.0,528.0,,
2026-01-10 19:57,Smart Home Health Ecosystem,0.0,0.0,554.0,,
2026-01-10 19:57,Smart Home Health Ecosystem,0.0,0.0,587.0,,
2026-01-10 19:57,Smart Home Health Ecosystem,0.0,0.0,553.0,,
2026-01-10 19:57,Smart Home Health Ecosystem,0.0,0.0,579.0,,
2026-01-10 19:57,Smart Home Health Ecosystem,0.0,0.0,560.0,,
2026-01-10 19:57,Smart Home Health Ecosystem,0.0,0.0,663.0,,
2026-01-10 19:57,Smart Home Health Ecosystem,0.0,0.0,560.0,,
2026-01-10 19:57,Smart Home Health Ecosystem,0.0,0.0,646.0,,
2026-01-10 19:58,Smart Home Health Ecosystem,0.0,0.0,627.0,,
2026-01-10 19:58,Smart Home Health Ecosystem,0.0,0.0,651.0,,
2026-01-10 19:58,Smart Home Health Ecosystem,0.0,0.0,617.0,,
2026-01-10 19:58,Smart Home Health Ecosystem,0.0,0.0,650.0,,
2026-01-10 19:58,Smart Home Health Ecosystem,0.0,0.0,613.0,,
2026-01-10 19:58,Smart Home Health Ecosystem,0.0,0.0,626.0,,
2026-01-10 19:58,Smart Home Health Ecosystem,0.0,0.0,555.0,,
2026-01-10 19:58,Smart Home Health Ecosystem,0.0,0.0,560.0,,
2026-01-10 20:01,Smart Home Health Ecosystem,0.0,0.0,560.0,,
2026-01-10 20:01,Smart Home Health Ecosystem,0.0,0.0,590.0,,
2026-01-10 20:01,Smart Home Health Ecosystem,0.0,0.0,642.0,,
2026-01-10 20:01,Smart Home Health Ecosystem,0.0,0.0,544.0,,
2026-01-10 20:01,Smart Home Health Ecosystem,0.0,0.0,539.0,,
2026-01-10 20:01,Smart Home Health Ecosystem,0.0,0.0,635.0,,
2026-01-10 20:01,Smart Home Health Ecosystem,0.0,0.0,687.0,,
2026-01-10 20:01,Smart Home Health Ecosystem,0.0,0.0,554.0,,
2026-01-10 20:01,Smart Home Health Ecosystem,0.0,0.0,634.0,,
2026-01-10 20:01,Smart Home Health Ecosystem,0.0,0.0,655.0,,
2026-01-10 20:01,Smart Home Health Ecosystem,0.0,0.0,560.0,,
2026-01-10 20:02,Smart Home Health Ecosystem,0.0,0.0,619.0,,
2026-01-10 20:02,Smart Home Health Ecosystem,0.0,0.0,591.0,,
2026-01-10 20:02,Smart Home Health Ecosystem,0.0,0.0,560.0,,
2026-01-10 20:02,Smart Home Health Ecosystem,0.0,0.0,629.0,,
2026-01-10 20:02,Smart Home Health Ecosystem,0.0,0.0,573.0,,
2026-01-10 20:02,Smart Home Health Ecosystem,0.0,0.0,542.0,,
2026-01-10 20:02,Smart Home Health Ecosystem,0.0,0.0,635.0,,
2026-01-10 20:02,Smart Home Health Ecosystem,0.0,0.0,592.0,,
2026-01-10 20:02,Smart Home Health Ecosystem,0.0,0.0,592.0,,
2026-01-10 20:02,Smart Home Health Ecosystem,0.0,0.0,615.0,,
2026-01-10 20:02,Smart Home Health Ecosystem,0.0,0.0,535.0,,
2026-01-10 20:05,Smart Home Health Ecosystem,0.0,0.0,528.0,good,30.0
2026-01-10 20:05,Smart Home Health Ecosystem,0.0,0.0,643.0,good,30.0
2026-01-10 20:05,Smart Home Health Ecosystem,0.0,0.0,653.0,good,30.0
2026-01-10 20:06,Smart Home Health Ecosystem,0.0,0.0,530.0,good,30.0
2026-01-10 20:06,Smart Home Health Ecosystem,0.0,0.0,560.0,good,30.0
2026-01-10 20:06,Smart Home Health Ecosystem,0.0,0.0,646.0,good,30.0
2026-01-10 20:06,Smart Home Health Ecosystem,0.0,0.0,694.0,good,30.0
2026-01-10 20:06,Smart Home Health Ecosystem,0.0,0.0,557.0,good,30.0
2026-01-10 20:06,Smart Home Health Ecosystem,0.0,0.0,695.0,good,30.0
2026-01-10 20:06,Smart Home Health Ecosystem,0.0,0.0,702.0,good,30.0
2026-01-10 20:06,Smart Home Health Ecosystem,0.0,0.0,523.0,good,30.0
2026-01-10 20:06,Smart Home Health Ecosystem,0.0,0.0,555.0,good,30.0
2026-01-10 20:06,Smart Home Health Ecosystem,0.0,0.0,649.0,good,30.0
2026-01-10 20:06,Smart Home Health Ecosystem,0.0,0.0,693.0,good,30.0
2026-01-10 20:06,Smart Home Health Ecosystem,0.0,0.0,583.0,good,30.0
2026-01-10 20:06,Smart Home Health Ecosystem,0.0,0.0,639.0,good,30.0
2026-01-10 20:06,Smart Home Health Ecosystem,0.0,0.0,653.0,good,0.0
2026-01-10 20:06,Smart Home Health Ecosystem,0.0,0.0,589.0,good,0.0
2026-01-10 20:06,Smart Home Health Ecosystem,0.0,0.0,589.0,good,0.0
2026-01-10 20:07,Smart Home Health Ecosystem,0.0,0.0,629.0,good,0.0
2026-01-10 20:07,Smart Home Health Ecosystem,0.0,0.0,663.0,good,0.0
2026-01-10 20:07,Smart Home Health Ecosystem,0.0,0.0,582.0,good,0.0
2026-01-10 20:07,Smart Home Health Ecosystem,0.0,0.0,577.0,good,0.0
2026-01-10 20:07,Smart Home Health Ecosystem,0.0,0.0,678.0,good,0.0
2026-01-10 20:07,Smart Home Health Ecosystem,0.0,0.0,580.0,good,0.0
2026-01-10 20:07,Smart Home Health Ecosystem,0.0,0.0,560.0,good,0.0
2026-01-10 20:07,Smart Home Health Ecosystem,0.0,0.0,653.0,good,0.0
2026-01-10 20:07,Smart Home Health Ecosystem,0.0,0.0,664.0,good,0.0
2026-01-10 20:07,Smart Home Health Ecosystem,0.0,0.0,557.0,good,0.0
2026-01-10 20:07,Smart Home Health Ecosystem,0.0,0.0,531.0,good,0.0
2026-01-10 20:07,Smart Home Health Ecosystem,0.0,0.0,730.0,good,0.0
2026-01-10 20:07,Smart Home Health Ecosystem,0.0,0.0,592.0,good,0.0
2026-01-10 20:07,Smart Home Health Ecosystem,0.0,0.0,551.0,good,0.0
2026-01-10 20:07,Smart Home Health Ecosystem,0.0,0.0,678.0,good,0.0
2026-01-10 20:07,Smart Home Health Ecosystem,0.0,0.0,691.0,good,0.0
2026-01-10 20:07,Smart Home Health Ecosystem,0.0,0.0,547.0,good,0.0
2026-01-10 20:07,Smart Home Health Ecosystem,0.0,0.0,567.0,good,0.0
2026-01-10 20:07,Smart Home Health Ecosystem,0.0,0.0,624.0,good,0.0
2026-01-10 20:07,Smart Home Health Ecosystem,0.0,0.0,567.0,good,0.0
2026-01-10 20:07,Smart Home Health Ecosystem,0.0,0.0,642.0,good,0.0
2026-01-10 20:07,Smart Home Health Ecosystem,0.0,0.0,560.0,good,0.0
2026-01-10 20:07,Smart Home Health Ecosystem,0.0,0.0,545.0,good,0.0
2026-01-10 20:07,Smart Home Health Ecosystem,0.0,0.0,655.0,good,0.0
2026-01-10 20:07,Smart Home Health Ecosystem,0.0,0.0,573.0,good,0.0
2026-01-10 20:07,Smart Home Health Ecosystem,0.0,0.0,647.0,good,0.0
2026-01-10 20:07,Smart Home Health Ecosystem,0.0,0.0,548.0,good,0.0
2026-01-10 20:08,Smart Home Health Ecosystem,0.0,0.0,573.0,good,0.0
2026-01-10 20:08,Smart Home Health Ecosystem,0.0,0.0,559.0,good,0.0
2026-01-10 20:08,Smart Home Health Ecosystem,0.0,0.0,547.0,good,0.0
2026-01-10 20:08,Smart Home Health Ecosystem,0.0,0.0,620.0,good,0.0
2026-01-10 20:08,Smart Home Health Ecosystem,0.0,0.0,547.0,good,0.0
2026-01-10 20:08,Smart Home Health Ecosystem,0.0,0.0,650.0,good,0.0
2026-01-10 20:08,Smart Home Health Ecosystem,0.0,0.0,602.0,good,0.0
2026-01-10 20:08,Smart Home Health Ecosystem,0.0,0.0,661.0,good,0.0
2026-01-10 20:08,Smart Home Health Ecosystem,0.0,0.0,591.0,good,0.0
2026-01-10 20:08,Smart Home Health Ecosystem,0.0,0.0,667.0,good,0.0
2026-01-10 20:08,Smart Home Health Ecosystem,0.0,0.0,596.0,good,0.0
2026-01-10 20:08,Smart Home Health Ecosystem,0.0,0.0,663.0,good,0.0
2026-01-10 20:08,Smart Home Health Ecosystem,0.0,0.0,599.0,good,0.0
2026-01-10 20:08,Smart Home Health Ecosystem,0.0,0.0,548.0,good,0.0
2026-01-10 20:08,Smart Home Health Ecosystem,0.0,0.0,577.0,good,0.0
2026-01-10 20:08,Smart Home Health Ecosystem,0.0,0.0,496.0,good,0.0
2026-01-10 20:08,Smart Home Health Ecosystem,0.0,0.0,577.0,good,0.0
2026-01-10 20:08,Smart Home Health Ecosystem,0.0,0.0,543.0,good,0.0
2026-01-10 20:08,Smart Home Health Ecosystem,0.0,0.0,571.0,good,0.0
2026-01-10 20:08,Smart Home Health Ecosystem,0.0,0.0,554.0,good,0.0
2026-01-10 20:08,Smart Home Health Ecosystem,0.0,0.0,649.0,good,0.0
2026-01-10 20:08,Smart Home Health Ecosystem,0.0,0.0,607.0,good,0.0
2026-01-10 20:08,Smart Home Health Ecosystem,0.0,0.0,644.0,good,0.0
2026-01-10 20:08,Smart Home Health Ecosystem,0.0,0.0,644.0,good,0.0
2026-01-10 20:08,Smart Home Health Ecosystem,0.0,0.0,564.0,good,0.0
2026-01-10 20:08,Smart Home Health Ecosystem,0.0,0.0,649.0,good,0.0
2026-01-10 20:08,Smart Home Health Ecosystem,0.0,0.0,484.0,good,0.0
2026-01-10 20:08,Smart Home Health Ecosystem,0.0,0.0,594.0,good,0.0
2026-01-10 20:09,Smart Home Health Ecosystem,0.0,0.0,532.0,good,0.0
2026-01-10 20:09,Smart Home Health Ecosystem,0.0,0.0,644.0,good,0.0
2026-01-10 20:09,Smart Home Health Ecosystem,0.0,0.0,550.0,good,0.0
2026-01-10 20:09,Smart Home Health Ecosystem,0.0,0.0,653.0,good,0.0
2026-01-10 20:09,Smart Home Health Ecosystem,0.0,0.0,562.0,good,0.0
2026-01-10 20:09,Smart Home Health Ecosystem,0.0,0.0,638.0,good,0.0
2026-01-10 20:09,Smart Home Health Ecosystem,0.0,0.0,539.0,good,0.0
2026-01-10 20:09,Smart Home Health Ecosystem,0.0,0.0,575.0,good,0.0
2026-01-10 20:09,Smart Home Health Ecosystem,0.0,0.0,549.0,good,0.0
2026-01-10 20:09,Smart Home Health Ecosystem,0.0,0.0,539.0,good,0.0
2026-01-10 20:09,Smart Home Health Ecosystem,0.0,0.0,608.0,good,0.0
2026-01-10 20:09,Smart Home Health Ecosystem,0.0,0.0,540.0,good,0.0
2026-01-10 20:09,Smart Home Health Ecosystem,0.0,0.0,641.0,good,0.0
2026-01-10 20:09,Smart Home Health Ecosystem,0.0,0.0,528.0,good,0.0
2026-01-10 20:09,Smart Home Health Ecosystem,0.0,0.0,624.0,good,0.0
2026-01-10 20:09,Smart Home Health Ecosystem,0.0,0.0,544.0,good,0.0
2026-01-10 20:09,Smart Home Health Ecosystem,0.0,0.0,530.0,good,0.0
2026-01-10 20:09,Smart Home Health Ecosystem,0.0,0.0,630.0,good,0.0
2026-01-10 20:09,Smart Home Health Ecosystem,0.0,0.0,592.0,good,0.0
2026-01-10 20:09,Smart Home Health Ecosystem,0.0,0.0,627.0,good,0.0
2026-01-10 20:09,Smart Home Health Ecosystem,0.0,0.0,565.0,good,0.0
2026-01-10 20:09,Smart Home Health Ecosystem,0.0,0.0,553.0,good,0.0
2026-01-10 20:09,Smart Home Health Ecosystem,0.0,0.0,630.0,good,0.0
2026-01-10 20:09,Smart Home Health Ecosystem,0.0,0.0,609.0,good,0.0
